strain	gisaid_strain	bloom_strain
A/Minnesota/97/2024	A/Minnesota/97/2024	A/Minnesota/97/2024_H3N2
A/Texas/ISC-1342/2025	A/Texas/ISC-1342/2025	A/Texas/ISC-1342/2025_H3N2
A/Texas/ISC-1148/2025	A/Texas/ISC-1148/2025	A/Texas/ISC-1148/2025_H3N2
A/Vermont/13/2025	A/Vermont/13/2025	A/Vermont/13/2025_H3N2
A/Texas/ISC-1274/2025	A/Texas/ISC-1274/2025	A/Texas/ISC-1274/2025_H3N2
A/Texas/ISC-1322/2025	A/Texas/ISC-1322/2025	A/Texas/ISC-1322/2025_H3N2
A/Busan/461/2025	A/Busan/461/2025	A/Busan/461/2025_H3N2
A/Ghana/FS-25-0256/2025	A/Ghana/FS-25-0256/2025	A/Ghana/FS-25-0256/2025_H3N2
A/Massachusetts/BI_MGH-23147/2025	A/Massachusetts/BI_MGH-23147/2025	A/Massachusetts/BI_MGH-23147/2025_H3N2
A/Slovenia/49/2024	A/Slovenia/49/2024	A/Slovenia/49/2024_H3N2
A/Switzerland/47775/2024	A/Switzerland/47775/2024	A/Switzerland/47775/2024_H3N2
A/Badajoz/18680568/2025	A/Badajoz/18680568/2025	A/Badajoz/18680568/2025_H3N2
A/RhodeIsland/15446/2025	A/Rhode_Island/15446/2025	A/Rhode_Island/15446/2025_H3N2
A/Washington/UW-25728/2024	A/Washington/UW-25728/2024	A/Washington/UW-25728/2024_H3N2
A/Texas/15550/2024	A/Texas/15550/2024	A/Texas/15550/2024_H3N2
A/NewYork/GKISBBBE61555/2025	A/New_York/GKISBBBE61555/2025	A/New_York/GKISBBBE61555/2025_H3N2
A/Victoria/96/2025	A/Victoria/96/2025	A/Victoria/96/2025_H3N2
A/Sydney/43/2025	A/Sydney/43/2025	A/Sydney/43/2025_H3N2
A/Netherlands/1502/2025	A/Netherlands/01502/2025	A/Netherlands/01502/2025_H3N2
A/SantaCatarina/333/2025	A/Santa_Catarina/333/2025	A/Santa_Catarina/333/2025_H3N2
A/NewYork/39/2025	A/New_York/39/2025	A/New_York/39/2025_H3N2
A/Massachusetts/ISC-1684/2025	A/Massachusetts/ISC-1684/2025	A/Massachusetts/ISC-1684/2025_H3N2
A/Florida/ISC-1241/2025	A/Florida/ISC-1241/2025	A/Florida/ISC-1241/2025_H3N2
A/Colombia/1851/2024	A/Colombia/1851/2024	A/Colombia/1851/2024_H3N2
A/Maldives/2147/2024	A/Maldives/2147/2024	A/Maldives/2147/2024_H3N2
A/Maldives/2186/2024	A/Maldives/2186/2024	A/Maldives/2186/2024_H3N2
A/France/BRE-IPP01880/2025	A/France/BRE-IPP01880/2025	A/France/BRE-IPP01880/2025_H3N2
A/France/ARA-RELAB-HCL025017178801/2025	A/France/ARA-RELAB-HCL025017178801/2025	A/France/ARA-RELAB-HCL025017178801/2025_H3N2
A/Victoria/3480/2024	A/Victoria/3480/2024	A/Victoria/3480/2024_H3N2
A/Victoria/3482/2024	A/Victoria/3482/2024	A/Victoria/3482/2024_H3N2
A/Ecuador/1385/2024	A/Ecuador/1385/2024	A/Ecuador/1385/2024_H3N2
A/Delaware/DE-DHSS-901/2025	A/DE/DE-DHSS-901/2025_(H3N2)	A/DE/DE-DHSS-901/2025_(H3N2)_H3N2
A/Michigan/UM-10062100736/2025	A/Michigan/UM-10062100736/2025	A/Michigan/UM-10062100736/2025_H3N2
A/MatoGrossodoSul/518/2025	A/Mato_Grosso_do_Sul/518/2025	A/Mato_Grosso_do_Sul/518/2025_H3N2
A/Michigan/UM-10062069629/2025	A/Michigan/UM-10062069629/2025	A/Michigan/UM-10062069629/2025_H3N2
A/Washington/15245/2025	A/Washington/15245/2025	A/Washington/15245/2025_H3N2
A/Colorado/ISC-1416/2024	A/Colorado/ISC-1416/2024	A/Colorado/ISC-1416/2024_H3N2
A/Nevada/216/2024	A/Nevada/216/2024	A/Nevada/216/2024_H3N2
