strain	gisaid_strain	bloom_strain
A/Utah/94/2024	A/Utah/94/2024	A/Utah/94/2024_H3N2
A/Utah/87/2024	A/Utah/87/2024	A/Utah/87/2024_H3N2
A/Indiana/46/2024	A/Indiana/46/2024	A/Indiana/46/2024_H3N2
A/Wisconsin/172/2024	A/Wisconsin/172/2024	A/Wisconsin/172/2024_H3N2
A/Minnesota/133/2024	A/Minnesota/133/2024	A/Minnesota/133/2024_H3N2
A/Colombia/7681/2024	A/Colombia/7681/2024	A/Colombia/7681/2024_H3N2
A/Oregon/265/2024	A/Oregon/265/2024	A/Oregon/265/2024_H3N2
A/Washington/284/2024	A/Washington/284/2024	A/Washington/284/2024_H3N2
A/Kentucky/57/2024	A/Kentucky/57/2024	A/Kentucky/57/2024_H3N2
A/Tennessee/99/2024	A/Tennessee/99/2024	A/Tennessee/99/2024_H3N2
A/Michigan/120/2024	A/Michigan/120/2024	A/Michigan/120/2024_H3N2
A/Tasmania/790/2024	A/Tasmania/790/2024	A/Tasmania/790/2024_H3N2
A/Wisconsin/NIRC-IS-1028/2024	A/Wisconsin/NIRC-IS-1028/2024	A/Wisconsin/NIRC-IS-1028/2024_H3N2
A/Queensland/IN000803/2024	A/Queensland/IN000803/2024	A/Queensland/IN000803/2024_H3N2
A/Queensland/IN000692/2024	A/Queensland/IN000692/2024	A/Queensland/IN000692/2024_H3N2
A/RhodeIsland/66/2024	A/Rhode_Island/66/2024	A/Rhode_Island/66/2024_H3N2
A/India/Pune-NIV24_3439/2024	A/India/Pune-NIV24_3439/2024	A/India/Pune-NIV24_3439/2024_H3N2
A/Massachusetts/93/2024	A/Massachusetts/93/2024	A/Massachusetts/93/2024_H3N2
A/Pennsylvania/288/2024	A/Pennsylvania/288/2024	A/Pennsylvania/288/2024_H3N2
A/SaoPaulo/358026766-IAL/2024	A/Sao_Paulo/358026766-IAL/2024	A/Sao_Paulo/358026766-IAL/2024_H3N2
A/NewYork/191/2024	A/New_York/191/2024	A/New_York/191/2024_H3N2
A/PuntaArenas/83659/2024	A/Punta_Arenas/83659/2024	A/Punta_Arenas/83659/2024_H3N2
A/CoteDIvoire/4448/2024	A/CoteD'Ivoire/4448/2024	A/CoteDIvoire/4448/2024_H3N2
A/Switzerland/860423897313/2023	A/Switzerland/860423897313/2023	A/Switzerland/860423897313/2023_H3N2
A/Manitoba/RV04865/2024	A/Manitoba/RV04865/2024	A/Manitoba/RV04865/2024_H3N2
A/Saskatchewan/RV04835/2024	A/Saskatchewan/RV04835/2024	A/Saskatchewan/RV04835/2024_H3N2
A/BurkinaFaso/3131/2023	A/BurkinaFaso/3131/2023	A/BurkinaFaso/3131/2023_H3N2
A/Tasmania/836/2024	A/Tasmania/836/2024	A/Tasmania/836/2024_H3N2
A/Minnesota/126/2024	A/Minnesota/126/2024	A/Minnesota/126/2024_H3N2
A/France/PAC-RELAB-HCL024172122101/2024	A/France/PAC-RELAB-HCL024172122101/2024	A/France/PAC-RELAB-HCL024172122101/2024_H3N2
A/Canberra/613/2024	A/Canberra/613/2024	A/Canberra/613/2024_H3N2
A/Tasmania/788/2024	A/Tasmania/788/2024	A/Tasmania/788/2024_H3N2
A/Norway/12374/2023	A/Norway/12374/2023	A/Norway/12374/2023_H3N2
A/Amapa/21563-IEC/2024	A/Amapa/021563-IEC/2024	A/Amapa/021563-IEC/2024_H3N2
A/Netherlands/10563/2023	A/Netherlands/10563/2023	A/Netherlands/10563/2023_H3N2
A/Lisbon/216/2023	A/Lisboa/216/2023	A/Lisboa/216/2023_H3N2
A/Victoria/46/2024	A/Victoria/46/2024	A/Victoria/46/2024_H3N2
A/Thailand/8/2022-egg	A/Thailand/8/2022	A/Thailand/8/2022_H3N2
A/Massachusetts/18/2022	A/Massachusetts/18/2022	A/Massachusetts/18/2022_H3N2
A/DistrictOfColumbia/27/2023	A/District Of Columbia/27/2023	A/DistrictOfColumbia/27/2023_H3N2
A/Croatia/10136RV/2023-egg	A/Croatia/10136RV/2023	A/Croatia/10136RV/2023-egg_H3N2
A/France/IDF-IPP29542/2023-egg	A/France/IDF-IPP29542/2023	A/France/IDF-IPP29542/2023-egg_H3N2
